From	Entry	Entry Name	Protein names	Gene Names	Gene Names (synonym)	PubMed ID
B0S7S1	B0S7S1	B0S7S1_DANRE	deleted			
Q6P2U7	Q6P2U7	Q6P2U7_DANRE	Na(+)/H(+) exchange regulatory cofactor NHE-RF	nherf1a cb895 nherf1 slc9a3r1 slc9a3r2 wu:fd20a02 zgc:55541 zgc:77629 slc9a3r1a	cb895 nherf1 slc9a3r1 slc9a3r2 wu:fd20a02 zgc:55541 zgc:77629	17953490; 19240126; 19332888; 20416398; 23594743; 27055101; 26790661; 28252024; 30863428
F1QHJ4	F1QHJ4	F1QHJ4_DANRE	deleted			
A0ST47	Q98867	THAA_DANRE	Thyroid hormone receptor alpha-A (zTRalpha-A) (Nuclear receptor subfamily 1 group A member 1-A) (Thyroid hormone receptor alpha-1) (TRalpha-1)	thraa nr1a1a thra thraa1 tra1	nr1a1a thra thraa1 tra1	9447705; 23594743; 17583703
Q4V9Q5	Q98867	THAA_DANRE	Thyroid hormone receptor alpha-A (zTRalpha-A) (Nuclear receptor subfamily 1 group A member 1-A) (Thyroid hormone receptor alpha-1) (TRalpha-1)	thraa nr1a1a thra thraa1 tra1	nr1a1a thra thraa1 tra1	9447705; 23594743; 17583703
Q98867	Q98867	THAA_DANRE	Thyroid hormone receptor alpha-A (zTRalpha-A) (Nuclear receptor subfamily 1 group A member 1-A) (Thyroid hormone receptor alpha-1) (TRalpha-1)	thraa nr1a1a thra thraa1 tra1	nr1a1a thra thraa1 tra1	9447705; 23594743; 17583703
Q6DHB6	Q6DHB6	Q6DHB6_DANRE	Keratin 91 (Zgc:92533)	fa97a07 fb05e09 wu:fa91b04 wu:fa97a07 wu:fb05e09 krt91 zgc:92533	fb05e09 wu:fa91b04 wu:fa97a07 wu:fb05e09	16379021; 16297574; 19200601; 23594743; 24211655; 26469318; 27068748; 28252024; 30532148
Q3B729	Q9I9R3	S40A1_DANRE	Solute carrier family 40 member 1 (Ferroportin-1)	slc40a1 fpn1 slc39a1	fpn1 slc39a1	10693807; 23594743
Q7ZZ51	Q9I9R3	S40A1_DANRE	Solute carrier family 40 member 1 (Ferroportin-1)	slc40a1 fpn1 slc39a1	fpn1 slc39a1	10693807; 23594743
Q8AW23	Q9I9R3	S40A1_DANRE	Solute carrier family 40 member 1 (Ferroportin-1)	slc40a1 fpn1 slc39a1	fpn1 slc39a1	10693807; 23594743
