UniprotID_TF	UniprotID_Target	NCBI_GeneID_TF	NCBI_GeneID_Target	Name_TF	Name_Target	Detection_method	PubmedID	Organism	Source_database	Small-scale_evidence	TF_TFLink_ortho	TF_nonTFLink_ortho	Target_TFLink_ortho	Target_nonTFLink_ortho	source
Q6P0E1	Q7ZW00	378723	334270	sox2	agk	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:P48431;Rn:D4A543	Mm:Q60I23	Hs:Q53H12;Dm:Q9VL10;Mm:Q9ESW4;Rn:D3Z9L0	-	tf-link
Q05AJ3	Q6DGU5	30481	436831	gata1a	slc25a46	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q96AG3;Ce:Q9U2J0;Dm:Q9VXK8;Mm:Q9CQS4;Rn:Q5EB62	Dm:Q9VJA5	tf-link
Q9I9E1	F8W2P1	57930	567222	foxh1	arl8a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q96BM9;Mm:Q8VEH3;Rn:D3ZPP2	-	tf-link
Q9I9E1	F1QFQ6	57930	-	foxh1	dlst	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:P36957;Ce:O45148;Dm:Q9VGQ1;Mm:Q9D2G2;Rn:G3V6P2;Sc:P19262	-	tf-link
F1QDF2	A2RUZ0	-	558152	sall4	sh2b1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	Hs:Q9NRF2;Mm:Q91ZM2;Rn:Q62985	-	tf-link
A5JNG8	E7FCG1	792333	100334572	nanog	arfgef2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	B8JIJ7	792333	-	nanog	rdh14a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
F1QDF2	Q804G3	-	353365	sall4	anxa11b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	-	-	tf-link
Q9I9E1	F1RD97	57930	559138	foxh1	cmtm7	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q96FZ5;Mm:Q9ESD6	Rn:D4A768	tf-link
Q6P0E1	Q08BC0	378723	572469	sox2	pim1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:P48431;Rn:D4A543	Mm:Q60I23	Hs:P11309	Mm:P06803	tf-link
Q9I9E1	F1Q7I9	57930	-	foxh1	iffo2a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q9I9P9	F1QM58	30639	-	smad2	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q9I9E1	E9QGQ3	57930	-	foxh1	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	B0UXF7	792333	-	nanog	col4a5	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	Q5YLG6	792333	100005849	nanog	rhov	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q96L33;Mm:Q8VDU1;Rn:A0A0H2UHK9	-	tf-link
A5JNG8	A0A0R4IN59	792333	100002182	nanog	si:ch73-281k2.5	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	Hs:P0DPK3;Hs:A0A494C1K9	tf-link
A5JNG8	A0A0R4INU8	792333	566408	nanog	ccdc50	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q6TEL1	E9QC64	322275	563012	rad21a	slc31a2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:O15432;Mm:Q9CPU9;Rn:D4AAE7	-	tf-link
A5JNG8	E7EXE9	792333	445396	nanog	rbbp6	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q98TU2	A0A0R4ICV5	64603	-	eomesa	si:ch211-215j19.12	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:O95936;Mm:O54839;Rn:D3ZY52	-	-	-	tf-link
